HFO_idx,chanIdx,startTime,stopTime,isValid
471,22,2091.556245140625,2091.578217796875,0
472,22,2356.006440453125,2356.03012209375,0
473,24,2126.6448681875,2126.666108421875,0
474,25,1875.95703125,1875.9716796875,0
475,33,1869.31591796875,1869.33251953125,0
476,35,1886.836669921875,1886.860107421875,0
477,37,1877.11181640625,1877.188720703125,0
478,38,1874.007080078125,1874.067138671875,0
479,38,1877.0908203125,1877.207763671875,0
480,1,2416.478120140625,2416.506928734375,0
481,1,2552.85824709375,2552.88070803125,0
482,1,2578.864350609375,2578.88803225,0
483,1,2970.353608421875,2970.37777834375,0
484,2,2412.304780296875,2412.33480959375,0
485,2,2413.76352053125,2413.81430178125,0
486,2,2416.47152834375,2416.50766115625,0
487,2,2439.224702171875,2439.265229515625,0
488,2,2486.9075635,2486.94906740625,0
489,2,2510.303803734375,2510.329194359375,0
490,2,2511.2151806875,2511.237641625,0
491,2,2511.8479931875,2511.871186546875,0
492,2,2512.57895021875,2512.6038525625,0
493,2,2522.89535646875,2522.92465334375,0
494,2,2552.850678734375,2552.893159203125,0
495,2,2574.283784203125,2574.31527834375,0
496,2,2582.938569359375,2582.964204125,0
497,2,2682.688081078125,2682.717866234375,0
498,2,2760.676850609375,2760.709565453125,0
499,2,2771.25863771875,2771.283784203125,0
500,2,2772.03646975,2772.067475609375,0
501,2,2813.351167015625,2813.36996584375,0
502,2,2824.88070803125,2824.910737328125,0
503,2,2829.5638135,2829.610444359375,0
504,2,2841.718110375,2841.755463890625,0
505,2,2841.7835400625,2841.808198265625,0
506,2,2854.880463890625,2854.91098146875,0
507,2,2861.3616650625,2861.391206078125,0
508,2,2867.790131859375,2867.8206494375,0
509,2,2868.95102053125,2868.98031740625,0
510,2,2875.0823681875,2875.112397484375,1
511,2,2931.701264671875,2931.73227053125,0
512,2,2932.78207521875,2932.84848146875,0
513,2,2958.077241234375,2958.11801271875,0
514,2,2961.619233421875,2961.643891625,0
515,2,2970.3460400625,2970.381928734375,0
516,2,2973.2854931875,2973.3167431875,0
517,2,2990.6839306875,2990.713471703125,0
518,3,2439.225922875,2439.26059084375,0
519,3,2512.5794385,2512.608735375,0
520,3,2552.85531740625,2552.874604515625,0
521,3,2571.1780713125,2571.201264671875,0
522,3,2574.28402834375,2574.31430178125,0
523,3,2682.692963890625,2682.712495140625,0
524,3,2759.071870140625,2759.10043459375,0
525,3,2813.344819359375,2813.37387209375,0
526,3,2829.563081078125,2829.592377953125,0
527,3,2841.783784203125,2841.801850609375,0
528,3,2861.356538109375,2861.384858421875,0
529,3,2868.9515088125,2868.98324709375,0
530,3,2958.089448265625,2958.116303734375,0
531,3,2972.624604515625,2972.652436546875,0
532,4,2511.85141115625,2511.88070803125,0
533,4,2759.07504396875,2759.10043459375,0
534,4,2772.02914553125,2772.05209475,0
535,4,2861.358979515625,2861.390717796875,0
536,4,2906.473237328125,2906.513764671875,0
537,4,2914.629975609375,2914.658295921875,0
538,5,2621.196870140625,2621.22348146875,0
539,5,2875.10336428125,2875.125581078125,0
540,5,2906.47836428125,2906.525483421875,1
541,5,2932.79574709375,2932.824799828125,0
542,6,2511.847749046875,2511.86508303125,0
543,7,2445.69271975,2445.70980959375,0
544,7,2860.554292015625,2860.5882275625,0
545,11,2413.753266625,2413.82016115625,0
546,11,2454.9554150625,2454.977876,0
547,11,2457.212006859375,2457.236909203125,0
548,11,2460.64242678125,2460.671967796875,0
549,11,2492.22738771875,2492.26254396875,0
550,11,2503.745209984375,2503.768891625,0
551,11,2507.01547365625,2507.040131859375,0
552,11,2509.019135765625,2509.047944359375,0
553,11,2511.82797365625,2511.901459984375,0
554,11,2512.560151390625,2512.620209984375,0
555,11,2557.5491650625,2557.57309084375,0
556,11,2558.489350609375,2558.517670921875,0
557,11,2573.6917431875,2573.715424828125,0
558,11,2606.353120140625,2606.37680178125,0
559,11,2612.5765088125,2612.599213890625,0
560,11,2620.585297875,2620.62094240625,0
561,11,2643.138764671875,2643.1819775625,0
562,11,2646.624604515625,2646.64926271875,0
563,11,2654.2933056875,2654.317963890625,0
564,11,2673.43051271875,2673.45980959375,0
565,11,2682.118501,2682.1507275625,0
566,11,2687.128510765625,2687.151704125,0
567,11,2688.565034203125,2688.588471703125,0
568,11,2690.411225609375,2690.435151390625,0
569,11,2712.40316896875,2712.432709984375,0
570,11,2750.817475609375,2750.846772484375,0
571,11,2758.892670921875,2758.916596703125,0
572,11,2763.95785646875,2763.997651390625,0
573,11,2773.326752953125,2773.357514671875,0
574,11,2804.6311963125,2804.654877953125,0
575,11,2812.804780296875,2812.850922875,0
576,11,2830.0940869375,2830.11215334375,1
577,11,2868.353120140625,2868.382417015625,0
578,11,2871.36410646875,2871.383393578125,0
579,11,2874.50668459375,2874.536225609375,0
580,11,2920.702729515625,2920.73178225,0
581,11,2922.1194775625,2922.144624046875,0
582,11,2952.647065453125,2952.67660646875,0
583,11,2958.639252953125,2958.66928225,0
584,11,2959.1722119375,2959.2200635,0
585,11,2959.6526806875,2959.672944359375,0
586,11,2968.025971703125,2968.050141625,0
587,11,2987.404877953125,2987.445893578125,0
588,11,2988.6175244375,2988.654389671875,0
589,11,2989.066987328125,2989.097016625,0
590,11,2992.81039553125,2992.853608421875,0
